Model,Price,Fuel Type,Fiscal Power,Horsepower,Transmission
Audi Q7 S Line,435 990 DT,Essence,16,252,Automatique
Porsche 718 Cayman 2.0 L PDK,446 350 DT,Essence,19,300,Automatique
Porsche 718 Boxster 2.0 L PDK,454 000 DT,Essence,19,300,Automatique
Porsche Macan,488 000 DT,Essence,17,265,Automatique
BMW X5 Hybride (2 finitions),496 400 DT,Hybride,15,394,Automatique
Audi Q8 55 TFSI Quattro Tiptronic (sur commande),541 990 DT,Essence,23,340,Automatique
Porsche Cayenne 3.0 L V6,570 000 DT,Essence,21,340,Automatique
Porsche Cayenne E-Hybrid,590 000 DT,Hybride,21,462,Automatique
Land Rover Range Rover Sport 3.0 I6 MHEV 400PS finition SE,695 000 DT,Essence,16,258,Automatique
PORSCHE PANAMERA V6 3.0 L,720 000 DT,Essence,31,440,Automatique
PORSCHE 911 CARRERA PDK,780 600 DT,Essence,27,385,Automatique
Land Rover Range Rover 4.4 V8 530PS,908 000 DT,Essence,44,530,Automatique
