Brand,Model,Price,Boite vitesse,Cylindrée,Puissance fiscale,Kilométrage,Age,Essence,Diesel,Electric
Mercedes_Benz,Classe_C,257.0,True,1.496,9,0.0,0.0,True,False,True
Mercedes_Benz,Classe_C,261.0,True,1.496,9,0.0,0.0,True,False,True
Mercedes_Benz,Classe_C,278.0,True,1.496,9,0.0,0.0,True,False,True
Mercedes_Benz,Cle_Coupe,302.0,True,1.999,12,0.0,0.0,True,False,True
Mercedes_Benz,Classe_E,269.0,True,1.999,12,0.0,0.0,True,False,True
Mercedes_Benz,Classe_E,298.0,True,1.999,12,0.0,0.0,True,False,True
Mercedes_Benz,Classe_E,303.0,True,1.999,12,0.0,0.0,True,False,True
Mercedes_Benz,Classe_E,333.0,True,1.999,12,0.0,0.0,True,False,True
Mercedes_Benz,Classe_S,699.0,True,2.999,27,0.0,0.0,True,False,True
Mercedes_Benz,Gla,203.0,True,1.332,9,0.0,0.0,True,False,False
Mercedes_Benz,Gla,221.0,True,1.332,9,0.0,0.0,True,False,False
Mercedes_Benz,Glb,226.0,True,1.332,9,0.0,0.0,True,False,False
Mercedes_Benz,Glc,294.0,True,1.999,12,0.0,0.0,True,False,True
Mercedes_Benz,Glc,329.0,True,1.999,12,0.0,0.0,True,False,True
Mercedes_Benz,Glc_Coupe,349.0,True,1.999,12,0.0,0.0,True,False,True
Mercedes_Benz,Gle,568.0,True,1.993,17,0.0,0.0,False,True,True
Mercedes_Benz,Gle_Coupe,588.0,True,1.993,16,0.0,0.0,False,True,True
Mercedes_Benz,Classe_V,468.0,True,1.95,12,0.0,0.0,False,True,False
Mg,3,56.95,False,1.498,6,0.0,0.0,True,False,False
Mg,3,63.95,False,1.498,6,0.0,0.0,True,False,False
Mg,3,69.95,True,1.498,6,0.0,0.0,True,False,False
Mg,3_Hybride,76.95,True,1.498,5,0.0,0.0,True,False,True
Mg,5,63.95,False,1.498,6,0.0,0.0,True,False,False
Mg,5,67.45,False,1.498,6,0.0,0.0,True,False,False
Mg,5,71.95,True,1.498,7,0.0,0.0,True,False,False
Mg,Gt,80.95,False,1.498,7,0.0,0.0,True,False,False
Mg,Gt,85.95,True,1.498,7,0.0,0.0,True,False,False
Mg,Gt,95.45,True,1.498,9,0.0,0.0,True,False,False
Mg,Zs,80.95,False,1.498,7,0.0,0.0,True,False,False
Mg,Zs,86.95,True,1.498,7,0.0,0.0,True,False,False
Mg,Zs,95.95,True,1.349,9,0.0,0.0,True,False,False
Mg,One,103.95,True,1.49,10,0.0,0.0,True,False,False
Mg,Rx5,113.95,True,1.49,10,0.0,0.0,True,False,False
Mg,Ehs,144.95,True,1.49,9,0.0,0.0,True,False,True
Mg,Rx8,174.95,True,1.995,16,0.0,0.0,True,False,False
Mini,3_Portes,198.9,True,1.499,9,0.0,0.0,True,False,False
Mini,Countryman,159.0,True,1.499,9,0.0,0.0,True,False,False
Mini,Countryman,195.9,True,1.499,9,0.0,0.0,True,False,False
Mini,Countryman,215.0,True,1.499,9,0.0,0.0,True,False,False
Mitsubishi,Attrage_Populaire,34.662,False,1.193,4,0.0,0.0,True,False,False
Mitsubishi,Eclipse_Cross,107.0,True,1.499,8,0.0,0.0,True,False,False
Mitsubishi,Asx,131.7,True,1.998,9,0.0,0.0,True,False,False
Mitsubishi,L200_Double_Cabine,155.0,False,2.477,8,0.0,0.0,False,True,False
Mitsubishi,Pajero,196.5,False,2.835,11,0.0,0.0,False,True,False
Mitsubishi,Pajero_Sport,243.567,False,2.442,11,0.0,0.0,False,True,False
Mitsubishi,Pajero_Sport,267.77,True,2.442,11,0.0,0.0,False,True,False
Nissan,Juke,87.5,False,0.999,6,0.0,0.0,True,False,False
Nissan,Juke,94.5,True,0.999,6,0.0,0.0,True,False,False
Nissan,Juke,95.5,True,0.999,6,0.0,0.0,True,False,False
Nissan,Qashqai,143.5,True,1.332,8,0.0,0.0,True,False,False
Nissan,Qashqai,144.5,True,1.332,8,0.0,0.0,True,False,False
Nissan,Qashqai,148.5,True,1.332,8,0.0,0.0,True,False,False
Nissan,Qashqai_E_Power,155.9,True,1.497,8,0.0,0.0,True,False,True
Opel,Corsa,71.9,False,1.199,6,0.0,0.0,True,False,False
Opel,Corsa,76.9,False,1.199,6,0.0,0.0,True,False,False
Opel,Crossland,79.9,True,1.199,6,0.0,0.0,True,False,False
Opel,Crossland,89.9,True,1.199,6,0.0,0.0,True,False,False
Opel,Mokka,109.9,True,1.199,7,0.0,0.0,True,False,False
Opel,Mokka,110.9,True,1.199,7,0.0,0.0,True,False,False
Opel,Astra,105.9,True,1.199,7,0.0,0.0,True,False,False
Opel,Astra,112.9,True,1.199,7,0.0,0.0,True,False,False
Opel,Combo,66.9,False,1.56,5,0.0,0.0,False,True,False
Opel,Combo,67.49,False,1.56,5,0.0,0.0,False,True,False
Opel,Combo,69.9,False,1.56,5,0.0,0.0,False,True,False
Peugeot,208,64.49,False,1.199,4,0.0,0.0,True,False,False
Peugeot,2008,97.9,True,1.199,7,0.0,0.0,True,False,False
Peugeot,2008,104.9,True,1.199,7,0.0,0.0,True,False,False
Peugeot,308,105.9,True,1.199,7,0.0,0.0,True,False,False
Peugeot,308_Gt,120.9,True,1.199,7,0.0,0.0,True,False,False
Peugeot,3008,149.9,True,1.598,9,0.0,0.0,True,False,False
Peugeot,3008_Gt_Line,169.9,True,1.598,9,0.0,0.0,True,False,False
Peugeot,408,148.9,True,1.598,13,0.0,0.0,True,False,False
Peugeot,408,149.9,True,1.598,13,0.0,0.0,True,False,False
Peugeot,408_Gt,160.9,True,1.598,13,0.0,0.0,True,False,False
Peugeot,5008_Gt_Line,186.9,True,1.598,9,0.0,0.0,True,False,False
Peugeot,Rifter,100.9,False,1.56,5,0.0,0.0,False,True,False
Peugeot,Expert_Combi,151.9,False,1.997,8,0.0,0.0,False,True,False
Peugeot,Traveller,171.9,False,1.997,8,0.0,0.0,False,True,False
Peugeot,Partner,67.49,False,1.56,5,0.0,0.0,False,True,False
Peugeot,Partner,68.49,False,1.56,5,0.0,0.0,False,True,False
Peugeot,Expert,84.9,False,1.997,9,0.0,0.0,False,True,False
Peugeot,Boxer,89.9,False,2.179,7,0.0,0.0,False,True,False
Peugeot,Boxer,91.9,False,2.179,7,0.0,0.0,False,True,False
Peugeot,Boxer,93.9,False,2.179,7,0.0,0.0,False,True,False
Peugeot,Boxer_Plateau_Double_Cabine,109.9,False,2.179,7,0.0,0.0,False,True,False
Peugeot,Landtrek_Simple_Cabine,75.49,False,1.91,6,0.0,0.0,False,True,False
Peugeot,Landtrek_Simple_Cabine,79.49,False,1.91,6,0.0,0.0,False,True,False
Peugeot,Landtrek_Double_Cabine,92.99,False,1.91,6,0.0,0.0,False,True,False
Peugeot,Landtrek_Double_Cabine,102.99,False,1.91,6,0.0,0.0,False,True,False
Peugeot,Landtrek_Double_Cabine,106.99,False,1.91,6,0.0,0.0,False,True,False
Porsche,Macan,424.0,True,1.984,17,0.0,0.0,True,False,False
Porsche,Cayenne,600.0,True,2.995,20,0.0,0.0,True,False,True
Porsche,Cayenne_Coupe,615.0,True,2.995,20,0.0,0.0,True,False,True
Porsche,911,845.0,True,2.981,26,0.0,0.0,True,False,False
Renault,Clio,64.95,False,0.999,6,0.0,0.0,True,False,False
Renault,Megane,94.95,False,1.332,8,0.0,0.0,True,False,False
Renault,Megane_Sedan,101.65,False,1.332,8,0.0,0.0,True,False,False
Renault,Megane_Sedan,109.95,True,1.332,8,0.0,0.0,True,False,False
Renault,Austral,134.9,True,1.332,8,0.0,0.0,True,False,False
Renault,Express_Van,57.55,False,1.461,5,0.0,0.0,False,True,False
Renault,Express_Combi,88.9,False,1.461,5,0.0,0.0,False,True,False
Renault,Master,84.9,False,2.298,8,0.0,0.0,False,True,False
Renault,Master,87.95,False,2.298,8,0.0,0.0,False,True,False
Renault,Master,89.95,False,2.298,8,0.0,0.0,False,True,False
Seat,Ibiza,75.98,True,0.999,6,0.0,0.0,True,False,False
Seat,Ibiza,75.98,False,0.999,6,0.0,0.0,True,False,False
Seat,Ibiza,84.98,True,0.999,6,0.0,0.0,True,False,False
Seat,Ibiza,87.98,True,0.999,6,0.0,0.0,True,False,False
Seat,Arona,87.98,True,0.999,6,0.0,0.0,True,False,False
Seat,Arona,94.98,True,0.999,6,0.0,0.0,True,False,False
Seat,Arona,97.98,True,0.999,6,0.0,0.0,True,False,False
Seat,Leon,99.98,True,1.395,8,0.0,0.0,True,False,False
Seat,Leon,118.98,True,1.395,8,0.0,0.0,True,False,False
Seat,Ateca,124.98,True,1.395,8,0.0,0.0,True,False,False
Seat,Ateca,136.98,True,1.395,8,0.0,0.0,True,False,False
Seat,Ateca,139.98,True,1.395,8,0.0,0.0,True,False,False
Skoda,Fabia,66.98,False,0.999,4,0.0,0.0,True,False,False
Skoda,Fabia,71.48,False,0.999,4,0.0,0.0,True,False,False
Skoda,Fabia,82.48,False,0.999,4,0.0,0.0,True,False,False
Skoda,Kushaq,76.98,False,0.999,6,0.0,0.0,True,False,False
Skoda,Kushaq,82.98,True,0.999,7,0.0,0.0,True,False,False
Skoda,Kushaq,89.98,True,0.999,7,0.0,0.0,True,False,False
Skoda,Scala,88.98,True,0.999,6,0.0,0.0,True,False,False
Skoda,Scala,102.98,True,0.999,6,0.0,0.0,True,False,False
Skoda,Scala,107.98,True,0.999,6,0.0,0.0,True,False,False
Skoda,Kamiq,91.98,True,0.999,6,0.0,0.0,True,False,False
Skoda,Kamiq,104.98,True,0.999,6,0.0,0.0,True,False,False
Skoda,Kamiq,109.98,True,0.999,6,0.0,0.0,True,False,False
Skoda,Octavia,119.98,True,1.395,8,0.0,0.0,True,False,False
Skoda,Octavia,129.98,True,1.395,8,0.0,0.0,True,False,False
Skoda,Octavia_Rs,195.0,True,1.984,14,0.0,0.0,True,False,False
Ssangyong,Tivoli,102.575,True,1.497,8,0.0,0.0,True,False,False
Ssangyong,Korando,124.98,True,1.497,9,0.0,0.0,True,False,False
Ssangyong,Musso,136.845,False,2.157,7,0.0,0.0,False,True,False
Ssangyong,Musso,148.176,False,2.157,7,0.0,0.0,False,True,False
Ssangyong,Musso,158.645,True,2.157,7,0.0,0.0,False,True,False
Ssangyong,Torres,184.58,True,1.497,9,0.0,0.0,True,False,False
Ssangyong,Rexton,312.3,True,2.157,12,0.0,0.0,False,True,False
Suzuki,Celerio_Populaire,28.62,False,0.998,4,0.0,0.0,True,False,False
Suzuki,Dzire,54.9,False,1.197,5,0.0,0.0,True,False,False
Suzuki,Dzire,57.9,False,1.197,5,0.0,0.0,True,False,False
Suzuki,Ciaz,62.9,False,1.462,6,0.0,0.0,True,False,False
Suzuki,Ciaz,67.9,True,1.462,6,0.0,0.0,True,False,False
Suzuki,Ciaz,69.9,False,1.462,6,0.0,0.0,True,False,False
Suzuki,Ciaz,73.9,True,1.462,6,0.0,0.0,True,False,False
Suzuki,Baleno,66.9,False,1.462,6,0.0,0.0,True,False,False
Suzuki,Baleno,76.9,True,1.462,6,0.0,0.0,True,False,False
Suzuki,Ertiga,78.9,False,1.462,6,0.0,0.0,True,False,False
Suzuki,Ertiga,83.9,True,1.462,6,0.0,0.0,True,False,False
Suzuki,Fronx,76.9,False,1.462,6,0.0,0.0,True,False,False
Suzuki,Fronx,91.9,True,1.462,6,0.0,0.0,True,False,False
Suzuki,Jimny,99.9,False,1.462,6,0.0,0.0,True,False,False
