Brand,Model,Price,Boite vitesse,Carrosserie,Couleur extérieure,Couleur intérieure,Cylindrée,Gouvernorat,Génération,Kilométrage,Mise en circulation,Moteur,Nombre de places,Nombre de portes,Puissance,Puissance cumulée,Puissance fiscale,Puissance thermique,Sellerie,Transmission,Énergie
Ssangyong,Actyon Sports,42 000DT,Manuelle,Pickup,Noir,Noir,1599cm³,Tunis,II01/2012 - Aujourd'hui,200000km,07.2017,,5,5,,,7cv,,Tissu,Traction,Diesel
DS,3,35 000DT,Automatique,Citadine,Gris anthracite,Noir,1399cm³,Tunis,,138000km,05.2012,,5,3,,,6cv,,Tissu,Traction,Essence
Audi,A3 Berline,97 000DT,Manuelle,Berline,Noir,Noir,999cm³,Tunis,Série 4 Limousine11/2019 - Aujourd'hui,17000km,10.2020,,5,5,,,6cv,,Similicuir,Traction,Essence
Nissan,Qashqai,43 000DT,Automatique,SUV/4x4,Bleu,Gris,1999cm³,Tunis,I Phase 2 (J10E)01/2010 - 11/2013,147000km,07.2011,,5,5,,,9cv,,Tissu,Traction,Essence
BMW,Série 5,90 000DT,Automatique,Berline,Gris anthracite,Beige,1999cm³,Tunis,(F10) LCI Berline01/2014 - 01/2017,200000km,11.2015,520i 2.0 i 16V,5,5,184ch dyn,,10cv,,Cuir intégral,Traction,Essence
Volkswagen,Passat,101 000DT,Automatique,Berline,Noir,Noir,1499cm³,Tunis,B8 Berline08/2014 - 07/2019,100000km,10.2019,1.4 TSI 16V BMT DSG7,5,5,150ch dyn,,8cv,,Cuir intégral,Traction,Essence
Land Rover,Discovery Sport,125 000DT,Automatique,SUV/4x4,Beige,Beige,2999cm³,Tunis,Sport09/2014 - 04/2019,160000km,08.2017,,5,5,,,8cv,,Cuir intégral,Traction,Diesel
Citroën,C3,44 500DT,Manuelle,Citadine,Blanc,Gris,1200cm³,Tunis,III (B618)07/2016 - 06/2020,90000km,01.2019,,5,5,,,4cv,,Tissu,Traction,Essence
Volkswagen,Amarok,49 000DT,Manuelle,SUV/4x4,Noir,Gris,1799cm³,Tunis,,370000km,09.2012,,5,5,,,7cv,,Cuir intégral,Traction,Diesel
Mercedes-Benz,Classe E,291 800DT,Automatique,Berline,Noir,Marron,1599cm³,Tunis,(213) Phase 2 Berline10/2020 - 12/2022,8000km,10.2022,,5,5,,,9cv,,Cuir intégral,Traction,Essence
Mini,3 portes,37 000DT,Manuelle,Citadine,Rouge,Noir,1200cm³,Tunis,2 (R56) LCI08/2010 - 12/2013,140000km,05.2013,,5,3,,,4cv,,Alcantara,Traction,Essence
BMW,Série 1,68 000DT,Manuelle,Citadine,Blanc,Rouge,1499cm³,Tunis,(F20) LCI 5 portes03/2015 - 09/2019,126000km,10.2017,,5,5,,,7cv,,Cuir intégral,Traction,Essence
Toyota,Hilux Double Cabine,231 000DT,Manuelle,SUV/4x4,Blanc,Gris,2899cm³,Tunis,(GUN 1./35)03/2016 - Aujourd'hui,3000km,02.2024,,5,5,,,8cv,,Tissu,Traction,Essence
Peugeot,2008,97 000DT,Automatique,SUV/4x4,Gris Shark,Gris,1399cm³,Tunis,II (P24E) 5HB10/2019 - Aujourd'hui,34000km,06.2022,,5,5,,,7cv,,Tissu,Traction,Essence
Mercedes-Benz,Classe A,158 000DT,Automatique,Citadine,Gris Shark,Noir,1599cm³,Tunis,(W177) Hatchback03/2018 - 02/2023,20000km,09.2022,,5,5,,,8cv,,Alcantara,Traction,Essence
Volkswagen,Passat,106 000DT,Automatique,Berline,Noir,Beige,1599cm³,Tunis,B8 Berline08/2014 - 07/2019,60000km,01.2020,1.4 TSI 16V BMT DSG7,5,5,150ch dyn,,8cv,,Alcantara,Traction,Essence
Volkswagen,Tiguan,90 000DT,Automatique,SUV/4x4,Blanc,Noir,1599cm³,Tunis,,60000km,02.2018,,5,5,,,7cv,,Tissu,Traction,Essence
Mercedes-Benz,Classe C,99 000DT,Automatique,Berline,Blanc,Noir,1599cm³,Tunis,(205) Berline03/2014 - 04/2021,160000km,10.2014,180 1.6 i 16V 9G-TRONIC,5,5,156ch dyn,,9cv,,Cuir intégral,Traction,Essence
