Name,Price,Kilométrage,Couleur du véhicule,Etat du véhicule,Boite,Année,Cylindrée,Marque,Modèle,Puissance fiscale,Type de carrosserie,Carburant
Skoda Kamiq,96000,13000,Noir,Nouveau,Automatique,2024,<1.0L,Skoda,Favorit,6,Compacte,Essence
audi a4 b7 full option,25800,271,Noir,Avec kilométrage,Manuelle,2006,1.6L,Audi,A4,7,Berline,Essence
Citroën c3,36000,134000,Noir,Nouveau,Manuelle,2018,1.2L,Citroen,C3,4,Berline,Essence
MERCEDES C180 BOITE AUTO 1ERE MAIN ENTRETIEN MAISON,105000,172000,Noir,Avec kilométrage,Automatique,2018,1.6L,Mercedes-Benz,Classe C,8,Berline,Essence
belle capture,39000,219852,Camel,Avec kilométrage,Manuelle,2016,1.3L,Renault,Capture,5,Berline,Essence
🚘 PEUGEOT 208 ACTIVE 🚘,45500,78000,Gris,Nouveau,Manuelle,2021,1.2L,Peugeot,208,05,Berline,Essence
mg gs,56000,112000,Marron,Avec kilométrage,Automatique,2017,1.5L,MG,ZS,9,4 x 4,Essence
Hyundai grand i10 age 1 an,40000,65000,Multicolore,Nouveau,Manuelle,2023,1.2L,Hyundai,I 10,5,Compacte,Essence
HUYNDAI I20 HIGHT GRADE BOITE AUTO 1ERE MAIN ENTRETIEN MAISON TEL 22801802,79000,105000,Autre,Avec kilométrage,Manuelle,2023,<1.0L,Hyundai,I 20,5,Compacte,Essence
Peugeot 208 populaire,34000,48000,Blanc,,,2020,,Peugeot,208,4,,Essence
polo sedan première main,52000,1,Gris,Avec kilométrage,Manuelle,2022,1.4L,Volkswagen,Polo,5,Autres,Essence
FOR FIESTA TITANIUM 4 CYLINDRES TEL 22801802,31900,105000,Autre,Avec kilométrage,Manuelle,2012,1.2L,Ford,Fiesta,5,Berline,Essence
🇩🇪🇩🇪🇩🇪 BMW SÉRIE 5 F10 KITT M 520I🇩🇪🇩🇪🇩🇪,79000,180,Blanc,Avec kilométrage,Automatique,2014,2.0L,BMW,Serie 5,10,Compacte,Essence
polo 5,15500,300,Noir,Nouveau,Manuelle,2002,1.2L,Volkswagen,Polo,4,Compacte,Essence
jetta 4 très propre,45000,200,Blanc,Nouveau,Manuelle,2014,1.4L,Volkswagen,Jetta,7,Autres,Essence
Fiat 500 boîte auto,58700,23000,Bleu,,,2023,1.2L,Fiat,500,4,Compacte,Essence
CLIO 4 Dynamique,40500,110000,Gris,Avec kilométrage,Manuelle,2016,1.2L,Renault,Clio,05,Berline,Essence
🚘 KIA RIO 🚘,48500,90000,Blanc,Avec kilométrage,Manuelle,2021,1.2L,Kia,Rio,05,Berline,Essence
Toyota Prado 120VX BVA,115000,290000,Gris,Nouveau,Automatique,2006,3.0L,Toyota,Prado,11,4 x 4,Diesel
MERCEDES CLA 180 PACK AMG 1ERE MAIN TEL 22801802,144900,100000,Noir,Avec kilométrage,Automatique,2020,1.3L,Mercedes-Benz,Classe CLA,7,Berline,Essence
E250 4Matic Bleutec,92000,230000,Gris,Avec kilométrage,Automatique,2015,2.2L,Mercedes-Benz,Classe E,11,Berline,Diesel
Lada niva 4x4,29800,85000,Vert,Avec kilométrage,Manuelle,2018,1.7L,Autres,Autres,7,4 x 4,Essence
⛔️ Mercedes_benz c 180 kompressor  ⛔️,51000,192000,Noir,Avec kilométrage,Automatique,2010,1.6L,Mercedes-Benz,Classe C,9,Autres,Essence
A vendre,40000,,,,Manuelle,,,Dacia,,,,Diesel
À vendre haval jolion,58000,4000,Noir,Nouveau,Automatique,2023,1.5L,Haval,jolion,9,4 x 4,Essence
À vendre,57000,133000,Rouge,Avec kilométrage,Manuelle,2022,1.2L,Kia,Rio,,Autres,Essence
Toyota Corolla,70000,71,Noir,Nouveau,Automatique,2022,1.5L,Toyota,Corolla,5,Compacte,Essence
Peugeot 206 version 1,13200,380000,Noir,Avec kilométrage,Manuelle,2001,<1.0L,Peugeot,206,4,Autres,Essence
POLO SEDAN,53000,84000,Argent,Nouveau,Manuelle,2021,1.4L,Volkswagen,Polo,5,Berline,Essence
🚘 RENAULT CLIO 4 🚘,42500,80000,Noir,Nouveau,Manuelle,2021,1.2L,Renault,Clio,05,Berline,Essence
🚘VOLKSWAGEN POLO SEDAN HIGHLINE,52500,90000,Blanc,Nouveau,Manuelle,2022,1.4L,Volkswagen,Polo,05,Berline,Essence
Toyota hiace,32000,1111,Blanc,Nouveau,Manuelle,2017,2.5L,Toyota,Hi Ace,8,Berline,Diesel
kia Picanto boite automatique 22599219,32800,150,Blanc,Avec kilométrage,Automatique,2015,1.2L,Kia,Picanto,5,Compacte,Essence
PEUGEOT 301,23500,146000,Noir,,Manuelle,2014,1.2L,Peugeot,301,5,Berline,Essence
406,13800,250000,Gris,Avec kilométrage,Manuelle,2000,1.8L,Peugeot,406,7,Autres,Essence
Hyundai Gi10 4cv 1ére main,41500,68000,Vert,Nouveau,Manuelle,2022,<1.0L,Hyundai,I 10,4,Autres,Essence
"🇩🇪 Mercedes Classe C 200 4MATIC
 KIT AMG✨Importée D’Allemagne🇩🇪 SERIE 246Tu…🏁",174000,60000,Blanc,Avec kilométrage,Automatique,2021,1.6L,Mercedes-Benz,Classe C,10,Berline,Essence
✅ la nouvelle MERCEDES CLASSE A 200 hybride importée ✅,169000,8000,Autre,Nouveau,Automatique,2024,1.6L,Mercedes-Benz,Classe A,8,Berline,Hybride essence
"🇩🇪 Mercedes GLC 300Coupé 4MATIC
 KIT AMG Rechargeable plug in♻️
( Importée D’Allemagne🇩🇪 
SERIE 245Tu…🏁 )",259000,60000,Noir,Avec kilométrage,Automatique,2021,2.0L,Mercedes-Benz,Classe GLC,12,4 x 4,Hybride essence
🇩🇪 Mercedes  C180 KIT AMG✨ ✔️Montage Allemand 🇩🇪,98000,178000,Noir,Avec kilométrage,Automatique,2016,1.6L,Mercedes-Benz,Classe C,10,Berline,Essence
🏁 SUZUKI JIMNY🌟1.5L 4X4 Boîte Auto♻️,89500,60000,Vert,Avec kilométrage,Automatique,22021,1.5L,Suzuki,Jimmy,6,4 x 4,Essence
Range Rover evoque  r dynamic essence TU 247,218000,59000,Autre,Avec kilométrage,Automatique,2021,2.0L,Land Rover,Range Rover Evoque,16,4 x 4,Hybride essence
"GOLF 8 Rline 1,5 eTsi Tu 247",110000,12000,Blanc,Avec kilométrage,Automatique,2021,1.5L,Volkswagen,Golf,8,Berline,Hybride essence
"T ROC importée de Allemagne 1,5 eTSI avec 4 cylindres Tu 246",155000,9,Noir,Nouveau,Automatique,2024,1.5L,Volkswagen,T-ROC,8,Autres,Hybride essence
KIA SPORTAGE HYBRIDE ESSENCE GTLINE,149000,39000,Autre,Avec kilométrage,Automatique,2023,1.6L,Kia,Sportage,10,4 x 4,Hybride Diesel
🇩🇪 BMW SÉRIE 5 520i✨Luxury Line,129000,145000,Noir,Avec kilométrage,Automatique,2018,1.6L,BMW,Serie 5,10,Berline,Essence
🚘 CITROËN C-Elysée Exclusive 🚘,36500,70000,Gris,Avec kilométrage,Manuelle,2020,1.2L,Citroen,C-Elysée,05,Berline,Essence
"Golf 8 importée de Allemagne 1,5 eTSI  ✨Année 2020",115000,42000,Autre,Avec kilométrage,Automatique,2020,1.5L,Volkswagen,Golf 8,8,Berline,Hybride essence
AUDI Q3 SLINE SPORTBACK TFSI  Hybride rechargeable plugin importée d Allemagne,158000,50000,Blanc,Avec kilométrage,Automatique,2021,1.6L,Audi,Q3,8,4 x 4,Hybride
Kia Rio,25200,200000,Noir,Nouveau,Manuelle,2010,1.4L,Kia,Rio,6,Berline,Essence
vendre voiture,25500,176000,Gris,Avec kilométrage,Manuelle,2004,1.4L,Peugeot,206+,05,Berline,Diesel
Peugeot,13500,300000,Vert,Avec kilométrage,Manuelle,1998,<1.0L,Peugeot,106,4,Compacte,Essence
Hyundai grand i10 1ere main1.2 BVA,54000,31000,Rouge,Nouveau,Automatique,2023,1.2L,Hyundai,I 10,5,Compacte,Essence
SUZUKI CELERION 1ERE MAIN TEL 22801802,37900,45000,Gris,Avec kilométrage,Manuelle,2022,<1.0L,Suzuki,Celerio,4,Compacte,Essence
Av Ou Échange X5 30d XDRIVE 7 places Toit pano ouvrant,67500,280000,Bleu,Nouveau,Automatique,2008,3.0L,BMW,X5,15,4 x 4,Diesel
Av ou Échange CLA 200 AMG BVA toit panoramique,77500,170000,Blanc,Nouveau,Automatique,2014,1.6L,Mercedes-Benz,Classe CLA,8,Compacte,Essence
Citroën C4 E-Hdi TU246!!!,39000,220000,Blanc,Nouveau,Manuelle,2014,1.6L,Citroen,C4 Cactus,6,Compacte,Diesel
TOYTA AGYA BVA 1ere Main,40900,90000,Gris,Nouveau,Automatique,2021,1.2L,Toyota,Aygo,5,Compacte,Essence
avendre hyundai i20,38000,128000,Noir,Avec kilométrage,Manuelle,2019,1.2L,Hyundai,I 20,5,Compacte,Essence
🚘 Hyundai Grand-i10 🚘,43500,68000,Gris,Nouveau,Manuelle,2021,1.2L,Hyundai,Grand i10,05,Compacte,Essence
🚘 KIA PICANTO GT-LINE BVA 🚘,49500,60000,Noir,Nouveau,Automatique,2021,1.2L,Kia,Picanto,05,Compacte,Essence
Clio 5 DCI importée,55800,130,Gris,Avec kilométrage,Manuelle,2021,1.5L,Renault,Clio,4,Compacte,Diesel
Audi Q3 2013,72000,74000,Noir,Avec kilométrage,Automatique,2013,2.0L,Audi,Q3,13,4 x 4,Essence
Achat de voitures,27292929,100,Autre,Avec kilométrage,Automatique,2023,<1.0L,Volkswagen,Caravelle,5,4 x 4,Diesel
🚘 KIA RIO GT-LINE🚘,61500,48000,Rouge,Nouveau,Manuelle,2024,1.2L,Kia,Rio,05,Berline,Essence
BMW E90 320I,33500,248000,Gris,Avec kilométrage,Automatique,2007,2.0L,BMW,Serie 3,9,Berline,Essence
MAZDA CX-9 HIGHT GRADE SKYACTIVE G TOUTES OPTIONS TEL 22801802,104000,155000,Noir,Avec kilométrage,Automatique,2019,2.5L,Mazda,CX-9,15,4 x 4,Essence
"Peugeot 208 (moteur révisé) 
peinture d'origine, 146km 
tel 22594568",25500,146000,Beige,Avec kilométrage,Manuelle,2015,1.2L,Peugeot,208,5,Autres,Essence
HYUNDAI GRANDE i10 ESSENCE,38500,102000,Blanc,Avec kilométrage,Manuelle,2021,1.2L,Hyundai,Grand i10,5,Compacte,Essence
U,59000,170,Noir,,Automatique,2018,1.2L,Renault,Kadjar,7,,Essence
polo 7 1.4 essence,33500,189,Noir,Avec kilométrage,Manuelle,2012,1.4L,Volkswagen,Polo,5,Compacte,Essence
💥Peugeot 406 🇫🇷 phase II💥 نظيفة,19000,340000,Gris,Avec kilométrage,Automatique,2001,1.8L,Peugeot,406,7,Berline,Essence
CLA 200 AMG Full options Neuf,77500,190000,Blanc,Nouveau,Automatique,2014,1.6L,Mercedes-Benz,Classe CLA,8,Berline,Essence
Golf 7 en très bon état comme neuf,44900,179000,Blanc,Avec kilométrage,Manuelle,2014,1.2L,Volkswagen,Golf,5,Compacte,Essence
MICRA,29500,130000,Bleu,Avec kilométrage,Manuelle,2017,1.2L,Nissan,Micra,5,Compacte,Diesel
207 E-HDI,27500,290000,Blanc,Avec kilométrage,Automatique,2011,1.4L,Peugeot,207,6,Compacte,Diesel
208,27800,123000,Noir,Avec kilométrage,Manuelle,2018,1.2L,Peugeot,208,5,Compacte,Essence
MG 5 LUXE BVA,58000,34000,Rouge,Avec kilométrage,Automatique,2022,1.5L,MG,5,7,Berline,Essence
BMW 520i G30,120000,97000,Noir,Avec kilométrage,Automatique,2018,2.0L,BMW,Serie 5,10,Berline,Essence
Passat a vendre,30000,,Gris,Avec kilométrage,Manuelle,2007,>4.0L,Volkswagen,Passat,,Autres,Diesel
Mazda 3 highgrade neuf très peu roulée Etat d'origine,71000,52000,Blanc,Avec kilométrage,Manuelle,2019,1.5L,Mazda,MX3,6,Berline,Essence
Kia serato,27000,192000,Gris,Avec kilométrage,Manuelle,2010,1.6L,Kia,Cerato,7,Berline,Essence
Mini cooper 7cv edition limitée PARK LANE,29800,177000,Doré,Avec kilométrage,Manuelle,2007,1.6L,mini,Cooper,,Berline,Essence
Dacia Dokker Van lux vitrée,39000,40000,Noir,Avec kilométrage,Manuelle,2021,1.5L,Dacia,Dokker,6,Utilitaire,Diesel
Citroen C4,26000,185.000,Noir,Avec kilométrage,Manuelle,2010,1.4L,Citroen,C4,6,Autres,Essence
Kia sportage 2022,142000,17000,Noir,Avec kilométrage,,2022,1.6L,Kia,Sportage,10,Autres,Essence
New Beetle Volkswagen,99594036,200,Blanc,Avec kilométrage,Manuelle,2015,1.2L,Volkswagen,Beetle,6,Autres,Essence
Citroen berlingo b9 11/2017,34000,189999,Blanc,Avec kilométrage,Manuelle,2017,1.6L,Citroen,Berlingo,5,Utilitaire,Diesel
Citroën C4 fin 2015,31000,252000,Bleu,Avec kilométrage,Manuelle,2015,1.4L,Citroen,C4,6,Compacte,Essence
fiat Doblo,19000,175000,Blanc,Avec kilométrage,Manuelle,2015,1.3L,Fiat,Doblo,5,Autres,Diesel
passat b9,65000,185000,Blanc,Avec kilométrage,Manuelle,2017,1.4L,Volkswagen,Passat,7,Berline,Essence
a vendre Belle voiture,22000,230,Gris,Avec kilométrage,Manuelle,2014,1.2L,Citroen,C-Elysée,5,Compacte,Essence
bmw e90,31000,262000,Noir,Avec kilométrage,Manuelle,2008,1.6L,BMW,Serie 3 GT,7,Berline,Essence
